design,overhang_depth,louver_angle,summer_shading,winter_shading,cooling_load,heating_load,total_energy,cooling_reduction,heating_increase
无遮阳,0.0,,1.0,1.0,50000.0,30000.0,80000.0,0.0,0.0
悬挑1.0m,1.0,,1.0,0.4822348431047152,50000.0,36213.18188274342,86213.18188274342,0.0,20.710606275811383
悬挑1.5m,1.5,,1.0,0.2233522646570728,50000.0,39319.77282411513,89319.77282411512,0.0,31.065909413717097
悬挑2.0m,2.0,,0.9999999999999999,0.0,49999.99999999999,42000.0,92000.0,1.1102230246251565e-14,39.99999999999999
悬挑1.5m+百叶30°,1.5,30.0,1.0,0.2233522646570728,50000.0,39319.77282411513,89319.77282411512,0.0,31.065909413717097
悬挑1.5m+百叶45°,1.5,45.0,1.0,0.2233522646570728,50000.0,39319.77282411513,89319.77282411512,0.0,31.065909413717097
悬挑2.0m+百叶45°,2.0,45.0,0.9999999999999999,0.0,49999.99999999999,42000.0,92000.0,1.1102230246251565e-14,39.99999999999999
