design,overhang_depth,louver_angle,summer_shading,winter_shading,cooling_load,heating_load,total_energy,cooling_reduction,heating_increase
无遮阳,0.0,,1.0,1.0,20000.0,80000.0,100000.0,0.0,0.0
悬挑1.0m,1.0,,1.0,0.629343783250969,20000.0,91860.998935969,111860.998935969,0.0,14.82624866996125
悬挑1.5m,1.5,,1.0,0.44401567487645344,20000.0,97791.49840395348,117791.49840395348,0.0,22.239373004941854
悬挑2.0m,2.0,,0.9999999999999999,0.2586875665019379,19999.999999999996,103721.99787193799,123721.99787193799,2.220446049250313e-14,29.65249733992248
悬挑1.5m+百叶30°,1.5,30.0,1.0,0.44401567487645344,20000.0,97791.49840395348,117791.49840395348,0.0,22.239373004941854
悬挑1.5m+百叶45°,1.5,45.0,1.0,0.44401567487645344,20000.0,97791.49840395348,117791.49840395348,0.0,22.239373004941854
悬挑2.0m+百叶45°,2.0,45.0,0.9999999999999999,0.2586875665019379,19999.999999999996,103721.99787193799,123721.99787193799,2.220446049250313e-14,29.65249733992248
