Scenario,TTE_hours,TTE_formatted,Power_avg_W,CI_lower,CI_upper,Energy_Wh,Validation
Idle,67.97358357910404,68.0h,0.7593338095116626,59.29093935307053,73.03050977960267,51.61464019710542,能量守恒检查: 警告
Web Browsing,26.847667065125584,26.8h,1.9224999999999999,24.13471783377835,28.309183900825783,51.614640038445096,能量守恒检查: 警告
Video Playback,25.303685380643103,25.3h,2.0398072149480058,23.1514901766716,28.127930064735676,51.61463981441931,能量守恒检查: 警告
Gaming,9.662731482904602,9.7h,5.3416200270976075,9.284311691225104,10.347152895105351,51.614639882476126,能量守恒检查: 警告
Navigation,14.99840770641291,15.0h,3.4413413022844526,14.534617248169868,15.889628501199022,51.614639846633686,能量守恒检查: 警告
Video Call,14.136409062008022,14.1h,3.6511846612937138,12.156201723966337,15.761206869216783,51.61463995612077,能量守恒检查: 警告
